,0
210,"EP400,MEF2A"
211,"BMI1,TBP"
212,"HNRNPK,KHSRP"
213,"CBX3,MGA"
214,"MTA2,YY1"
215,"SUZ12,PML"
216,"HDGF,CBX3"
217,"MCM5,RAD51"
218,"ZNF316,HDAC3"
219,"C11orf30,HDAC2"
220,"YY1,SAP30"
221,"ATF2,ATF7"
222,"ZBTB33,HDAC2"
223,"MCM7,SMARCC2"
224,"HDGF,EWSR1"
225,"TBP,FOXK2"
226,"JUN,TBP"
227,"SIN3B,THAP1"
228,"THRA,EP300"
229,"NR2C1,RCOR1"
230,"FOXK2,NR3C1"
231,"HDAC6,NKRF"
232,"ATF2,BACH1"
233,"ZNF384,NR3C1"
234,"LEF1,HDAC2"
235,"IKZF1,FOXK2"
236,"ZNF143,BRD4"
237,"HDAC1,TRIM24"
238,"EP300,NFYB"
239,"ZFP91,HDAC2"
240,"RBBP5,C11orf30"
241,"ARID1B,EP400"
242,"TCF7L2,SIN3B"
243,"AGO1,CBX5"
244,"PHF21A,RAD21"
245,"BRD4,HDAC2"
246,"NONO,SMARCB1"
247,"EGR1,TCF7"
248,"ZKSCAN1,HDAC6"
249,"CUX1,EHMT2"
250,"THAP1,NR2F1"
251,"TCF7,FOXA1"
252,"JUN,NKRF"
253,"HDAC1,CREM"
254,"SMARCA5,MYNN"
255,"SIN3A,TCF7L2"
256,"ZFP91,HDAC1"
257,"HDAC2,MNT"
258,"H2AFZ,CTCF"
259,"RAD51,CBX5"
260,"PHF21A,SIRT6"
261,"NR2F2,SETDB1"
262,"ZBTB8A,EP300"
263,"NFYB,RCOR1"
264,"BCOR,ZNF592"
265,"SMARCC2,UBTF"
266,"PHF21A,SMC3"
267,"HLTF,UBTF"
268,"MTA3,MTA2"
269,"MEF2A,JUN"
270,"ATF3,ATF7"
271,"SPI1,GATA1"
272,"FOXK2,SIN3B"
273,"BRD4,HLTF"
274,"ETS1,EP300"
275,"SMARCE1,ELK1"
276,"FOXM1,CDC5L"
277,"NFYB,H2AFZ"
278,"EP300,THRA"
279,"MAFK,HDAC3"
280,"MYBL2,ZBTB2"
281,"HDAC6,HNRNPK"
282,"NR3C1,HDAC6"
283,"GABPB1,RFX5"
284,"RCOR1,CDC5L"
285,"TARDBP,EWSR1"
286,"ARID2,HDAC3"
287,"MEF2A,CBX5"
288,"NEUROD1,EP300"
289,"CBFA2T3,HDAC6"
290,"HDAC6,MBD2"
291,"HDAC3,MYBL2"
292,"YY1,NR2F1"
293,"IKZF1,SIN3B"
294,"GATA1,PHF21A"
295,"BRD4,NFYA"
296,"HDAC1,CEBPB"
297,"RB1,SMC3"
298,"FOXA1,HDAC1"
299,"FUS,THRA"
300,"SIN3A,HDAC1"
301,"GTF2F1,SUPT5H"
302,"SMARCA4,H2AFZ"
303,"PRDM10,HDAC6"
304,"STAT5A,NCOA1"
305,"BRD4,SIN3B"
306,"CDC5L,EP300"
307,"TARDBP,FUS"
308,"MNT,HDAC1"
309,"ZBTB5,ZBTB7A"
310,"PHF21A,EGR1"
311,"HDAC2,MTA3"
312,"CDC5L,E2F7"
313,"CDC5L,SMARCE1"
314,"ASH1L,PRDM10"
315,"EHMT2,ZNF143"
316,"PTBP1,YBX3"
317,"JUN,BRD4"
318,"EHMT2,AGO1"
319,"FOXM1,HDAC6"
320,"HDAC1,ZNF639"
321,"BRD4,MYBL2"
322,"GABPB1,NCOR1"
323,"MYC,NFIC"
324,"RBM39,PCBP1"
325,"SIN3A,SAP30"
326,"UBTF,HLTF"
327,"HLTF,FOS"
328,"IKZF1,EHMT2"
329,"SIN3A,FOXM1"
330,"SETDB1,NR2F1"
331,"MBD2,PHF21A"
332,"KDM1A,PRDM10"
333,"NCOR1,PHB2"
334,"TCF7,SMAD1"
335,"SETDB1,HLTF"
336,"RB1,FOS"
337,"DDX20,POLR2A"
338,"MGA,RNF2"
339,"HNRNPK,FUS"
340,"ETS1,SMARCE1"
341,"TBL1XR1,RBBP5"
342,"NCOA2,ARNT"
343,"E4F1,EP300"
